time,latitude,longitude,u10,v10,mwd,mwp,swh
2021-05-01 02:00:00,34.0,120.5,4.322403,-0.7418518,90.39307,4.909051,0.8051035
2021-05-01 03:00:00,34.0,120.5,3.9026642,-0.74676514,90.18109,4.9297066,0.78248453
2021-05-01 04:00:00,34.0,120.5,3.339737,-0.81481934,89.88817,4.9635296,0.75580895
2021-05-01 05:00:00,34.0,120.5,2.870163,-0.9827728,89.509995,4.9925613,0.72804826
2021-05-01 06:00:00,34.0,120.5,2.332138,-1.5237579,88.99255,5.0035,0.7011648
2021-05-01 07:00:00,34.0,120.5,1.2962341,-2.1310883,88.43942,5.005419,0.67433816
2021-05-01 08:00:00,34.0,120.5,0.23252869,-1.5166779,88.1185,4.990514,0.64822435
2021-05-01 09:00:00,34.0,120.5,-1.2090454,0.24186707,87.96219,4.9760675,0.62214214
2021-05-01 10:00:00,34.0,120.5,-1.905716,2.381836,89.23451,4.92344,0.5992801
2021-05-01 11:00:00,34.0,120.5,-1.6747437,3.1152496,90.42268,4.848792,0.5792151
2021-05-01 12:00:00,34.0,120.5,-0.89030457,3.3547516,91.26701,4.799367,0.556729
2021-05-01 13:00:00,34.0,120.5,0.12110901,2.77594,91.898605,4.731292,0.53661025
2021-05-01 14:00:00,34.0,120.5,1.457077,-1.5204163,85.851814,4.528285,0.5357876
2021-05-01 15:00:00,34.0,120.5,-0.7625427,-6.4110413,68.34379,4.162896,0.5812103
2021-05-01 16:00:00,34.0,120.5,-2.1851044,-6.530884,47.22672,3.8664093,0.6446515
2021-05-01 17:00:00,34.0,120.5,-1.8076935,-5.895111,34.555855,3.7653322,0.7078379
2021-05-01 18:00:00,34.0,120.5,-1.4352417,-6.05571,27.718845,3.7924528,0.76723367
2021-05-01 19:00:00,34.0,120.5,-1.2898712,-6.097275,23.438099,3.8754625,0.82361835
2021-05-01 20:00:00,34.0,120.5,-1.1642456,-5.983902,20.789131,3.9834938,0.8659516
2021-05-01 21:00:00,34.0,120.5,-1.2976837,-6.017395,19.010958,4.0834036,0.90842116
2021-05-01 22:00:00,34.0,120.5,-1.8204193,-5.9084167,18.702518,4.185896,0.9617607
2021-05-01 23:00:00,34.0,120.5,-2.354721,-5.66626,19.442017,4.292,0.99452937
2021-05-02 00:00:00,34.0,120.5,-2.9362946,-5.2714233,20.684025,4.370223,1.000941
2021-05-02 01:00:00,34.0,120.5,-3.0220642,-4.5053253,21.746143,4.4379015,0.969841
2021-05-02 02:00:00,34.0,120.5,-2.8880005,-3.7205048,22.388292,4.4944735,0.91750914
2021-05-02 03:00:00,34.0,120.5,-2.5306091,-2.9273834,22.617352,4.5457907,0.8564782
2021-05-02 04:00:00,34.0,120.5,-2.5279083,-2.2517853,22.650528,4.58086,0.79746425
2021-05-02 05:00:00,34.0,120.5,-3.0617828,-1.8257599,22.763716,4.5792828,0.7453862
2021-05-02 06:00:00,34.0,120.5,-3.7008362,-1.6370544,23.447418,4.529948,0.7033843
2021-05-02 07:00:00,34.0,120.5,-3.9132538,-1.2823944,24.387892,4.46389,0.66652894
2021-05-02 08:00:00,34.0,120.5,-4.2841187,-1.0412292,25.376268,4.4027576,0.63235915
2021-05-02 09:00:00,34.0,120.5,-4.370514,-0.41905212,27.243256,4.317951,0.60497797
2021-05-02 10:00:00,34.0,120.5,-3.0746307,0.24578857,27.666946,4.3204975,0.5674907
