time	latitude	longitude	u10	v10	mwd	mwp	swh	ls	lx
2021/5/1 0:00:00	35.5	125.5	4.828118293	-6.087070255	--	--	--	--	
2021/5/1 0:00:00	35.5	125.75	4.685408866	-6.297819014	--	--	--	--	
2021/5/1 0:00:00	35.5	126	5.003612316	-6.842715476	--	--	--	--	
2021/5/1 0:00:00	35.5	126.25	5.144393237	-7.088126859	--	--	--	--	
2021/5/1 0:00:00	35.5	126.5	4.528042797	-5.876783664	--	--	--	--	
2021/5/1 0:00:00	35.5	126.75	3.816424172	-4.032269856	--	--	--	--	
2021/5/1 0:00:00	35.5	127	3.432265825	-2.805675106	--	--	--	--	
2021/5/1 0:00:00	35.5	127.25	3.557618699	-2.441486462	--	--	--	--	
2021/5/1 0:00:00	35.5	127.5	3.593488906	-2.009821241	--	--	--	--	
2021/5/1 0:00:00	35.5	127.75	3.704956539	-1.592945406	--	--	--	--	
2021/5/1 0:00:00	35.5	128	3.119847892	-1.242159643	--	--	--	--	
2021/5/1 0:00:00	35.5	128.25	2.328774831	-0.439373253	--	--	--	--	
2021/5/1 0:00:00	35.5	128.5	1.659197631	0.00292184	--	--	--	--	
2021/5/1 0:00:00	35.5	128.75	1.723609724	0.091658159	--	--	--	--	
2021/5/1 0:00:00	35.5	129	2.334946049	-0.214759444	--	--	--	--	
2021/5/1 0:00:00	35.5	129.25	2.941268259	0.23816552	--	--	--	--	
2021/5/1 0:00:00	35.5	129.5	3.785953781	1.260944036	--	--	--	--	
2021/5/1 0:00:00	35.5	129.75	4.838532224	2.495857816	--	--	--	--	
2021/5/1 0:00:00	35.5	130	4.900244408	3.36427211	--	--	--	--	
2021/5/1 0:00:00	35.75	120	3.414909273	1.591856561	--	--	--	--	
2021/5/1 0:00:00	35.75	120.25	4.338663531	2.113182438	--	--	--	--	
2021/5/1 0:00:00	35.75	120.5	4.454759578	1.988396989	--	--	--	--	
2021/5/1 0:00:00	35.75	120.75	4.749820959	1.868233223	--	--	--	--	
2021/5/1 0:00:00	35.75	121	4.917986661	1.48139833	--	--	--	--	
2021/5/1 0:00:00	35.75	121.25	5.368099905	0.856546747	--	--	--	--	
2021/5/1 0:00:00	35.75	121.5	5.567121699	0.012627375	--	--	--	--	
2021/5/1 0:00:00	35.75	121.75	5.732201792	-0.714825578	--	--	--	--	
2021/5/1 0:00:00	35.75	122	5.600291998	-1.546728573	--	--	--	--	
2021/5/1 0:00:00	35.75	122.25	5.50386671	-2.11519562	--	--	--	--	
2021/5/1 0:00:00	35.75	122.5	5.353443261	-2.764542125	--	--	--	--	
2021/5/1 0:00:00	35.75	122.75	5.491909974	-3.477667859	--	--	--	--	
2021/5/1 0:00:00	35.75	123	5.596434986	-4.073402838	--	--	--	--	
